Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00137806980422005,-0.00843975567415427,0.0857223815959781,0,0,0,1.96296034373238,0.00678653526240836,0.000243191893661983,1.24875368651411E-05,0.00823621378895798,7.64778096079778E-05,0.0124725009484738,0,0,0,0,0,0,package://handy_description/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://handy_description/meshes/base_link.STL,,Thrust bearing-1;Base_new-Split2_2023-1;Base_new-Split1_2023-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-0.0725146961018054,0.079910291601417,0.000250622465943137,0,0,0,2.77021151255874,0.00907222147779803,-0.000448333566890533,1.0068524287114E-06,0.00983455962586034,-5.82276633724071E-05,0.0106330348927041,0,0,0,0,0,0,package://handy_description/meshes/Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://handy_description/meshes/Link1.STL,,rhino_platform_2-Split11_2023-1;rhino_platform_2_2023-1,Origin_joint1,Axis_joint1,joint1,continuous,0,0,0.203,1.5707963267949,0,0.90056162865229,base_link,0,1,0,,,,,,,,,,,,
Link2,0.0965209443710697,0.166972387328076,0.000420500520151912,0,0,0,1.60258240510756,0.00371206261060501,0.000206420968460011,3.90691952283735E-07,0.00424910615001682,-2.94639427096498E-06,0.00504190808067887,0,0,0,0,0,0,package://handy_description/meshes/Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://handy_description/meshes/Link2.STL,,Aluminum cover-1;Aluminum cover-2;Aluminum rod (210mm)-2;Aluminum rod (210mm)-1;shoulder_to_elbow-Split1_2023-1;shoulder_to_elbow-Split2_2023-2;Shoulder_to_elbow_motor_cover2023-2;bearing-4,Origin_joint2,Axis_joint2,joint2,continuous,0,0.0980000000000003,0,-0.845855816973644,0,0,Link1,1,0,0,,,,,,,,,,,,
Link3,0.0110522230208728,0.138253487637124,-5.18867424581515E-08,0,0,0,1.41915559432314,0.00337859380087584,-0.00010675700219337,4.72519864826593E-09,0.0034589896327155,6.12038610275174E-09,0.00394953100244572,0,0,0,0,0,0,package://handy_description/meshes/Link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://handy_description/meshes/Link3.STL,,Aluminum cover 2-2;Aluminum cover 2-1;Aluminum rod (160mm)-2;Aluminum rod (160mm)-1;elbow_wrist_lower_joint(1)-1;elbow_wrist_upper_joint(1)-1;UpperJointCap(1)-1,Origin_joint3,Axis_joint3,joint3,continuous,0,0.28755,0.000575582702541239,0.94622374788271,0,0,Link2,1,0,0,,,,,,,,,,,,
Link4,-1.16012495610107E-07,0.171237340361939,-0.00522413588220405,0,0,0,0.659855119108978,0.00146936908988289,1.18335817899762E-09,8.07578708577174E-10,0.000929674320612995,0.000200963580476959,0.0016928996811034,0,0,0,0,0,0,package://handy_description/meshes/Link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://handy_description/meshes/Link4.STL,,Wrist(1) to Wrist(2) link - Part 1-1;Wrist(1) to Wrist(2) link - Part 2-1;bearing-2,Origin_joint4,Axis_joint4,joint4,continuous,0,0.25,0,-3.14159265358979,1.09522041714727,1.5707963267949,Link3,0,1,0,,,,,,,,,,,,
Link5,5.50251544551017E-07,0.132828808779577,-0.00501402676479312,0,0,0,0.671110398226165,0.00148800600379807,-3.50838159842186E-09,8.05470644609646E-11,0.000932033244916945,0.000148143300588446,0.00172025951168894,0,0,0,0,0,0,package://handy_description/meshes/Link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://handy_description/meshes/Link5.STL,,Wrist(2) to Wrist(3) link - Part 2_2023-1;Wrist(2) to Wrist(3) link - Part 1_2023-1;bearing-1,Origin_joint5,Axis_joint5,joint5,continuous,0,0.196914494717703,0,-1.5707963267949,0,-1.36718767182522,Link4,0,1,0,,,,,,,,,,,,
Link6,3.46403503326265E-07,0.107245639547907,1.31069793796179E-06,0,0,0,0.372994201208974,0.000350622143291916,-7.31251399845945E-10,3.09762185635176E-10,0.000578160908615849,-2.78569262386727E-09,0.000378483285472056,0,0,0,0,0,0,package://handy_description/meshes/Link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://handy_description/meshes/Link6.STL,,end effector link(1)-1;End_effector_mounting_2023(1)-1;bearing-5,Origin_joint6,Axis_joint6,joint6,continuous,0,0.157794494717703,0,-1.5707963267949,0,2.5989448107597,Link5,0,1,0,,,,,,,,,,,,
